0,1
"Разведена. Нејзиниот син Алексеј останува во Македонија, завршува хемија и работи во фабриката Југохром. Тој се жени со Словенка, по професија медицинска сестра, со која ги има децата Михаил и Галина. Галина, исто како баба и Марија, се занимава со уметност, поточно е вајар и мозаичар и денес живее во Постојна во Словенија. Михаил, некогашен директор на резерватот Јасен, живее во Скопје и го претставува македонскиот огранок на семејството.",
"Иако го контактиравме, од здравствени причини за жал тој не можеше да учествува во оваа епизода. За својата баба тој до скоро не знаел речиси ништо, но на отворањето на изложбата беше видливо горд и трогнат, опкружен со помладите наследници на Малахови.",
"Марија умира на 84 години во 1987-ма, после исполнета и пребогата биографија, во голема мерка онакква каква што замислувала, кога во дневникот на 14-годишна возраст напишала „Сѐ што сакам од овој живот тоа е природа, слобода и уметност. Сѐ друго за мене нема значење“.",
"‏За секој од членовите на семејството Малахови би можело да се направи посебна епизода. За изумителот, задругарот и партизанот Георгиј. За трудбеникот, механичар и партизан Вјачеслав. За Александар, инженерот-геолог кој ќе стане референт за рударство при АСНОМ, основач на Геолошкиот институт на Македонија и еден од првите четворица предавачи на катедрата по географија со етнологија во рамки на Филозофскиот факултет.",
"Но во оваа епизода се фокусираме на снаите во семејството Малахови, спомнатата Марија и нејзината јатрва, осум години помладата Светлана. ‏Светлана Сергеевна Малахова е основоположник на куклената сцена во Македонија.",
"Доаѓа во Македонија во 1935 година заедно со својот сопруг Александар Александрович Малахов кој е геолог. Во тој период тука на оваа територија од Македонија, тогашна Вардарска Македонија веќе се пристигнати неговиот татко, мајка и чичко.",
"‏За Светлана Малахова во нашите извори, во нашата документација со која што располагаат нашите институции речиси да нема ништо,",
"многу малку освен нејзиното име кое што се повторува на секои десет години во монографиите на Драмскиот театар. И во една мала книга посветена на кукларството во Македонија и во светот на познатиот театролог Иван Ивановски каде што тој по повод настанот, премиерата на „Силјан Штркот“",
"изразува жалење за тоа што за оваа уметница не е дадено... на оваа уметница не ѝ е дадено должното внимание. И во вториот извор, тоа е во серијалот од Историја на македонскиот театар на познатиот театролог Ристо Стефановски, во делот на театарот од времето на партизанскиот период до младинско-детскиот каде што исто така ја најавува,",
"ги најавува куклените... појавата на куклената секција при МНТ и ја спомнува Светлана Малахова како основоположник на куклената сцена во Македонија. Други кажувања, други записи за нејзе нема.",
"Ова е Љубица Велкова, историчарка на уметност веќе 30 години вработена во одделот за костимиграфија во Театарот за деца и младинци во Скопје, каде и го снимивме разговорот. Од нејзините истражувања всушност почнало сѐ. Подготвувајќи издание за деца под наслов „Светот на кукларството“, за историјата на оваа уметност низ годините, таа наишла на името на Светлана Малахова.",
"Се обратила до градскиот и до државниот архив каде ја упатиле до Лина Жила, нашата претходна соговорничка, која на почетокот тврдела дека станува збор за грешка и дека Светлана е всушност сликарката Марија. За неа немало податоци ни во досиеата на ДБК за руските емигранти.",
"Потрагата изгледала безнадежна, се до моментот кога Љубица на интернет не наишла на плакат за претставата „Храбриот Цане“, една од петте кои таа ќе ги направи во текот на својот престој во Македонија од 1935-1949. Од тука нештата се развивале како во детективски филм. Но како Светлана воопшто дошла во допир со кукларството?",
"Тие инаку се едноставно економски емигранти. Не се од тие таканаречените белогардејци, тие што ја поддржуваат... тие се членови на царската војска и го поддржуваат царството односно царот на Русија.",
"Овие се чисто само економски емигранти. Доаѓаат претходно од Чехословачка, тогашна Чехословачка каде што",
"и двајцата се образуваат на... прво таму завршува Светлана во Втората реална гимназија, а потоа завршува и високо образовна... факултет за применета уметност, исто е тој руски универзитет. Светлана во Прага ќе има можност да дојде во допир со куклен театар. Во тој период во Прага",
"егзистираат над две илјади фамилијарни, семејни театри. Тоа се трупи. Државни театри се појавуваат дури по Втората светска војна. Инаку претходно сето тоа е... особено е позната Чехословачка по тие семејни",
"театри. Интересно е да се каже историјата на кукларството во Чешка ќе одигра... односно самото кукларство ќе одигра важна улога за Чешка затоа што во тој период на Чешка, во крајот на деветнаесеттиот век и почетокот на дваесеттиот им прети германизација.",
И од таа причина се појавуваат куклени театри кои што претставите ги играат на чешки јазик,
"и ги поставуваат германските дела на чешки јазик. Меѓутоа вметнуваат и еден познат лик, се вика Кашпарек, еден комичен лик кој што е традиционално во било какво дело да се игра, тој е тука, е вметнат како лик во било која претстава. Дали го играат Дон Жуан или",
"не знам која друга сериозна претстава, сериозен текст, ликот на Кашпарек е присутен во нивните претстави и исклучиво на чешки јазик. Еден од најпознатите е кукларот Копетски. Тој во неговиот фамилијарен театар е прв што ќе почне да ги игра куклените претстави на чешки јазик.",
"Токму тоа искуство во куклениот театар и значењето на куклениот театар Светлана ќе го пренесе тука во Македонија. Веднаш после отварањето, 45-та година се основа МНТ, веќе во 46-та, на 21 април е првата премиерна изведба на куклена претстава односно „Силјан Штркот“ на сцената на Македонскиот народен театар.",
"За раководител на таа секција, куклена секција е назначена токму Светлана Малахова. За првата претстава таа ќе ги изработи и куклите, ќе ги учи актерите како се анимираат куклите, ќе ја изготви и сценографијата.",
"Воедно таа е режисер на првата претстава. А Петре Прличко којшто ќе ѝ остане соработник до крајот, до нејзиното заминување е драматург на таа претстава. Во следните уште четири претстави коишто ќе ги постават заедно тој тандем,",
"Прличко и Малахова, диригентската палка ја презема Прличко, Петре Прличко, а сѐ останатото, повторно куклите ги изработува Малахова, драматургијата во некои се појавува Петре Прличко, во една претстава се појавува и... како сценограф се појавува и познатиот сценограф и костимограф и карикатурист Василие Поповиќ-Цицо.",
"На таа сцена значи ќе се... во тие од 46-та до 49-та... 1949 година до нејзиното заминување некаде пролетта во 49-та, ќе се постават пет претстави. Значи првата е „Силјан Штркот“, потоа е „Шумска дружба“, „Црвенкапа“, „Златната рипка“ и „Храбриот Цане“.",
"Во 1946-тата добриот живот на Александар и Светлана Малахови одеднаш добива друг тек. Александар е повреден во сомнителна сообраќајна несреќа, која најверојатно била обид за атентат. Откако е исклучен од Комунистичката Партија на Југославија поради својата позиција во врска со Инфорбирото и стравува дека ќе биде уапсен, Малахов дава отказ од работното место. Истото го прави и Светлана и тие заминуваат во Чехословачка.",
"Така, во 1949-та, завршува првата фаза од развојот на куклената уметност во Македонија.",
"Од таму во 1955-та се селат во Советскиот Сојуз. Малахова ќе продолжи да се занимава со кукларство во театарот во Ташкент и во Башкирскиот државен театар во градот Уфа. Умира во 2005-та година. По повод отворањето на изложбата нивниот син Димитриј, роден во Македонија во 1943, испратил видео порака, во која вели:",
,
"Во Македонија научив да зборувам, да читам и да пливам. За мојата страст сѐ да расклопувам со штрафцигер таму го добив и прекарот Мајстор-квариша. Моите родители до крајот на својот живот со голема топлина зборуваа за Македонија и за својот престој тука. Заблагодарувајќи им се на сите, тој на снимката покажува резба во дрво со македонско оро која се уште ја чува и ја нарекува „душата на македонскиот народ“.",
"Од приказната за семејството Малахови се прави одличен филм кој би содржел сѐ – историски превирања, авантури, љубов, неочекувани пресврти и мистериозни парчиња, кои остануваат такви и долго по завршувањето на филмот. Марија би можела да ја игра нашата Верица Недеска која ѝ го позајмува гласот во оваа епизода.",
"Светлана ни изгледа дека би ѝ лежела на Звезда Ангеловска. Веруваме дека тие одлично би ја доловиле и пошироката поента на тој замислен филм – дека, како што велат и авторките на изложбата, тешкотиите на едно мачно време и на едни номадски души еднаш ќе исчезнат. Но нивното добро дело ќе остане.",
"Секогаш се поставува прашање: а зошто јас треба да се вложувам ако никој не е заинтересиран? Ако тоа што ќе направиш пак ќе пропадне. И тоа создава чувство на пасивизираност, тоа создава чувство зошто? Зошто? Еве зошто. Бидејќи ќе дојде денот кога вашето дело ќе исплие на површината.",
"Ќе дојде денот кога тоа што вие вложивте со вашето срце, со вашата душа ќе придонесе за поубава иднина.",
"Апсолутно така ќе биде и мора да биде. И како што ние дадовме насловот за нашата изложба: тешкотиите ќе поминат ама благото дело, тоа знаеле стари Римјани кои што измислиле оваа пословица, овој израз, ама благо дело, добро дело што ќе оставите ќе живее вечно.",
"Јас сум Илина Јакимовска. Ова беше 32-рата епизода од подкастот „Обични луѓе“. Аудио монтажа Бојан Угриновски. Транскрипција Ана Ашталковска Гајтановска. Фотографии и целосен препис на епизодата можете да видите на нашиот сајт obicniluge.mk. За изработката на оваа епизода од клучно значење, покрај интервјуата, беше каталогот за изложбата Македонската робинзонијада на семејството бегалци Малахови.",
"Огромна благодарност до Лина, Љубица, Јасмина и Јасминка, за нивниот ентузијазам и непресушна трудољубивост, да се нурнат во тајните на историјата и да ги расветлат оние нејзини катчиња кои намерно или ненамерно се покриени со сенки и слоеви прашина. Обичните необични луѓе Малахови го заслужуваат тоа.",
"Благодаря ви, че гледахте!",
